Ingenio,Hacienda,Suerte,Municipio,Corregimiento,Codigo_14,Municipio_Clean,h8,Es_Hacienda_Ausente,Hda_Real,DAR,NOM_DAR
Manuelita,INES PALESTINA,1,El Cerrito,San Antonio,MN000336000001,EL CERRITO,MN000336,TRUE,INES PALESTINA,CENTRO SUR,CENTRO SUR
Manuelita,INES PALESTINA,2,El Cerrito,San Antonio,MN000336000002,EL CERRITO,MN000336,TRUE,INES PALESTINA,CENTRO SUR,CENTRO SUR
Manuelita,INES PALESTINA,3,El Cerrito,San Antonio,MN000336000003,EL CERRITO,MN000336,TRUE,INES PALESTINA,CENTRO SUR,CENTRO SUR
Manuelita,INES PALESTINA,4,El Cerrito,San Antonio,MN000336000004,EL CERRITO,MN000336,TRUE,INES PALESTINA,CENTRO SUR,CENTRO SUR
Manuelita,INES PALESTINA,5,El Cerrito,San Antonio,MN000336000005,EL CERRITO,MN000336,TRUE,INES PALESTINA,CENTRO SUR,CENTRO SUR
Manuelita,INES PALESTINA,6,El Cerrito,San Antonio,MN000336000006,EL CERRITO,MN000336,TRUE,INES PALESTINA,CENTRO SUR,CENTRO SUR
Manuelita,INES PALESTINA,7,El Cerrito,San Antonio,MN000336000007,EL CERRITO,MN000336,TRUE,INES PALESTINA,CENTRO SUR,CENTRO SUR
Manuelita,PALESTINA 4,17,El Cerrito,San Antonio,MN000483000017,EL CERRITO,MN000483,TRUE,PALESTINA,CENTRO SUR,CENTRO SUR
Manuelita,LA MERCED,10,El Cerrito,El Placer,MN000798000010,EL CERRITO,MN000798,TRUE,LA MERCED,CENTRO SUR,CENTRO SUR
Manuelita,LA MERCED,10,El Cerrito,El Placer,MN000798000010,EL CERRITO,MN000798,TRUE,LA MERCED,CENTRO SUR,CENTRO SUR
Manuelita,LA MERCED,11,El Cerrito,El Placer,MN000798000011,EL CERRITO,MN000798,TRUE,LA MERCED,CENTRO SUR,CENTRO SUR
Manuelita,LA MERCED,11,El Cerrito,El Placer,MN000798000011,EL CERRITO,MN000798,TRUE,LA MERCED,CENTRO SUR,CENTRO SUR
Manuelita,LA MERCED,8,El Cerrito,El Placer,MN000798000008,EL CERRITO,MN000798,TRUE,LA MERCED,CENTRO SUR,CENTRO SUR
Providencia,QUITASUE?O,011,El Cerrito,nd,PR080812000011,EL CERRITO,PR080812,TRUE,QUITASUE?O,CENTRO SUR,CENTRO SUR
Providencia,LA AURORA,114D,El Cerrito,nd,PR08010300114D,EL CERRITO,PR080103,TRUE,LA AURORA,CENTRO SUR,CENTRO SUR
Providencia,LA AURORA,121C,El Cerrito,nd,PR08010300121C,EL CERRITO,PR080103,TRUE,LA AURORA,CENTRO SUR,CENTRO SUR
Providencia,QUITASUE?O,002,El Cerrito,nd,PR080812000002,EL CERRITO,PR080812,TRUE,QUITASUE?O,CENTRO SUR,CENTRO SUR
Providencia,LA AURORA,109,El Cerrito,nd,PR080103000109,EL CERRITO,PR080103,TRUE,LA AURORA,CENTRO SUR,CENTRO SUR
Providencia,EL ROSARIO ARBOLEDA,028B,El Cerrito,nd,PR08042300028B,EL CERRITO,PR080423,TRUE,EL ROSARIO ARBOLEDA,CENTRO SUR,CENTRO SUR
Providencia,LA AURORA,121D,El Cerrito,nd,PR08010300121D,EL CERRITO,PR080103,TRUE,LA AURORA,CENTRO SUR,CENTRO SUR
Providencia,QUITASUE?O,009,El Cerrito,nd,PR080812000009,EL CERRITO,PR080812,TRUE,QUITASUE?O,CENTRO SUR,CENTRO SUR
Providencia,QUITASUE?O,001,El Cerrito,nd,PR080812000001,EL CERRITO,PR080812,TRUE,QUITASUE?O,CENTRO SUR,CENTRO SUR
Providencia,VILLA MERCEDES,005B,El Cerrito,nd,PR08012900005B,EL CERRITO,PR080129,TRUE,VILLA MERCEDES,CENTRO SUR,CENTRO SUR
Providencia,VILLA MERCEDES,005A,El Cerrito,nd,PR08012900005A,EL CERRITO,PR080129,TRUE,VILLA MERCEDES,CENTRO SUR,CENTRO SUR
Providencia,VILLA MERCEDES,005,El Cerrito,nd,PR080129000005,EL CERRITO,PR080129,TRUE,VILLA MERCEDES,CENTRO SUR,CENTRO SUR
Providencia,LA MANSION 1 SANCLEMENTE,010A,El Cerrito,nd,PR08252700010A,EL CERRITO,PR082527,TRUE,LA MANSION 1 SANCLEMENTE,CENTRO SUR,CENTRO SUR
Providencia,LA MANSION 1 SANCLEMENTE,016,El Cerrito,nd,PR082527000016,EL CERRITO,PR082527,TRUE,LA MANSION 1 SANCLEMENTE,CENTRO SUR,CENTRO SUR
Manuelita,MILAGRO,1,El Cerrito,San Antonio,MN000060000001,EL CERRITO,MN000060,TRUE,MILAGRO,CENTRO SUR,CENTRO SUR
Manuelita,PALESTINA 2,2,El Cerrito,San Antonio,MN000481000002,EL CERRITO,MN000481,TRUE,PALESTINA,CENTRO SUR,CENTRO SUR
Manuelita,LA MERCED,9,El Cerrito,El Placer,MN000798000009,EL CERRITO,MN000798,TRUE,LA MERCED,CENTRO SUR,CENTRO SUR
Providencia,SAN MIGUEL 3,013A,El Cerrito,nd,PR08018100013A,EL CERRITO,PR080181,TRUE,SAN MIGUEL,CENTRO SUR,CENTRO SUR
Providencia,LA TORTUGA,002,El Cerrito,nd,PR081077000002,EL CERRITO,PR081077,TRUE,LA TORTUGA,SURORIENTE,CENTRO SUR
Providencia,LA TORTUGA,002,El Cerrito,nd,PR081077000002,EL CERRITO,PR081077,TRUE,LA TORTUGA,SURORIENTE,CENTRO SUR
Providencia,LA TORTUGA,001,El Cerrito,nd,PR081077000001,EL CERRITO,PR081077,TRUE,LA TORTUGA,CENTRO SUR,CENTRO SUR
Providencia,EL OVIEDO EMPRESA,003A,El Cerrito,nd,PR08012700003A,EL CERRITO,PR080127,TRUE,EL OVIEDO EMPRESA,CENTRO SUR,CENTRO SUR
Providencia,LA AURORA,119,El Cerrito,nd,PR080103000119,EL CERRITO,PR080103,TRUE,LA AURORA,CENTRO SUR,CENTRO SUR
Providencia,LA EMILIA LLANO,004,El Cerrito,nd,PR080539000004,EL CERRITO,PR080539,TRUE,LA EMILIA LLANO,CENTRO SUR,CENTRO SUR
Providencia,EL CANELO M,008,El Cerrito,nd,PR081052000008,EL CERRITO,PR081052,TRUE,EL CANELO M,SURORIENTE,CENTRO SUR
Providencia,LA EMILIA LLANO,001,El Cerrito,nd,PR080539000001,EL CERRITO,PR080539,TRUE,LA EMILIA LLANO,CENTRO SUR,CENTRO SUR
Providencia,SAN FERNANDO,002,El Cerrito,nd,PR080337000002,EL CERRITO,PR080337,TRUE,SAN FERNANDO,CENTRO SUR,CENTRO SUR
Providencia,SAN FERNANDO,002,El Cerrito,nd,PR080337000002,EL CERRITO,PR080337,TRUE,SAN FERNANDO,CENTRO SUR,CENTRO SUR
Providencia,ZABALETAS EMPRESA,006,El Cerrito,nd,PR082503000006,EL CERRITO,PR082503,TRUE,ZABALETAS EMPRESA,CENTRO SUR,CENTRO SUR
Providencia,EL CANELO M,006,El Cerrito,nd,PR081052000006,EL CERRITO,PR081052,TRUE,EL CANELO M,SURORIENTE,CENTRO SUR
Providencia,ZABALETAS EMPRESA,009,El Cerrito,nd,PR082503000009,EL CERRITO,PR082503,TRUE,ZABALETAS EMPRESA,CENTRO SUR,CENTRO SUR
Providencia,SAN FERNANDO,001A,El Cerrito,nd,PR08033700001A,EL CERRITO,PR080337,TRUE,SAN FERNANDO,CENTRO SUR,CENTRO SUR
Providencia,AURORA CUCALON,991E,El Cerrito,nd,PR08060100991E,EL CERRITO,PR080601,TRUE,AURORA CUCALON,CENTRO SUR,CENTRO SUR
Providencia,ZABALETAS EMPRESA,007A,El Cerrito,nd,PR08250300007A,EL CERRITO,PR082503,TRUE,ZABALETAS EMPRESA,CENTRO SUR,CENTRO SUR
Providencia,LA MERCED GARCES,001A,El Cerrito,nd,PR08018600001A,EL CERRITO,PR080186,TRUE,LA MERCED GARCES,CENTRO SUR,CENTRO SUR
Providencia,LA AURORA,118A,El Cerrito,nd,PR08010300118A,EL CERRITO,PR080103,TRUE,LA AURORA,CENTRO SUR,CENTRO SUR
Providencia,LA AURORA,111C,El Cerrito,nd,PR08010300111C,EL CERRITO,PR080103,TRUE,LA AURORA,CENTRO SUR,CENTRO SUR
Providencia,LA AURORA,115D,El Cerrito,nd,PR08010300115D,EL CERRITO,PR080103,TRUE,LA AURORA,CENTRO SUR,CENTRO SUR
Providencia,LA MERCED CHAYA-CABA,002,El Cerrito,nd,PR080605000002,EL CERRITO,PR080605,TRUE,LA MERCED CHAYA-CABA,CENTRO SUR,CENTRO SUR
Providencia,LA MERCED CHAYA-CABA,002,El Cerrito,nd,PR080605000002,EL CERRITO,PR080605,TRUE,LA MERCED CHAYA-CABA,CENTRO SUR,CENTRO SUR
Providencia,LA ARGELIA,270B,El Cerrito,nd,PR08011100270B,EL CERRITO,PR080111,TRUE,LA ARGELIA,CENTRO SUR,CENTRO SUR
Providencia,SAN FERNANDO,022,El Cerrito,nd,PR080337000022,EL CERRITO,PR080337,TRUE,SAN FERNANDO,CENTRO SUR,CENTRO SUR
Providencia,LA ARGELIA,358B,El Cerrito,nd,PR08011100358B,EL CERRITO,PR080111,TRUE,LA ARGELIA,CENTRO SUR,CENTRO SUR
Providencia,LA ARGELIA,362,El Cerrito,nd,PR080111000362,EL CERRITO,PR080111,TRUE,LA ARGELIA,CENTRO SUR,CENTRO SUR
Providencia,LA AURORA,112,El Cerrito,nd,PR080103000112,EL CERRITO,PR080103,TRUE,LA AURORA,CENTRO SUR,CENTRO SUR
Providencia,LA INDEPENDENCIA,009,El Cerrito,nd,PR080586000009,EL CERRITO,PR080586,TRUE,LA INDEPENDENCIA,CENTRO SUR,CENTRO SUR
Providencia,LA INDEPENDENCIA,010,El Cerrito,nd,PR080586000010,EL CERRITO,PR080586,TRUE,LA INDEPENDENCIA,CENTRO SUR,CENTRO SUR
Providencia,LA AURORA,114,El Cerrito,nd,PR080103000114,EL CERRITO,PR080103,TRUE,LA AURORA,CENTRO SUR,CENTRO SUR
Providencia,SAN FERNANDO,003B,El Cerrito,nd,PR08033700003B,EL CERRITO,PR080337,TRUE,SAN FERNANDO,SURORIENTE,CENTRO SUR
Providencia,LA PRIMAVERA,375A,El Cerrito,nd,PR08011200375A,EL CERRITO,PR080112,TRUE,LA PRIMAVERA,CENTRO SUR,CENTRO SUR
Providencia,SAN MIGUEL 3,009,El Cerrito,nd,PR080181000009,EL CERRITO,PR080181,TRUE,SAN MIGUEL,CENTRO SUR,CENTRO SUR
