"cod_unico","hda_nombre","NDVI","NBR","Alerta_Combustion"
"CA010685000001",NA,NA,NA,NA
"CA011037000006",NA,NA,NA,NA
"CA011037000004",NA,NA,NA,NA
"CA011037000001",NA,NA,NA,NA
"CA011037000007",NA,NA,NA,NA
"CA01103700005A",NA,NA,NA,NA
"CA011037000002",NA,NA,NA,NA
"CA011037000003",NA,NA,NA,NA
"CA011037000009",NA,NA,NA,NA
"CA011491000001",NA,NA,NA,NA
"CA010701000002",NA,NA,NA,NA
"CA011491000006",NA,NA,NA,NA
"CA011491000002",NA,NA,NA,NA
"CA010701000001",NA,NA,NA,NA
"CA011186000054",NA,NA,NA,NA
"CA011186000056",NA,NA,NA,NA
"CA011186000058",NA,NA,NA,NA
"CA01003400003A",NA,NA,NA,NA
"CA010701000003",NA,NA,NA,NA
"CA011033000002",NA,NA,NA,NA
"CA011033000003",NA,NA,NA,NA
"CA011033000004",NA,NA,NA,NA
"CA011033000005",NA,NA,NA,NA
"CA010424000001",NA,NA,NA,NA
"CA010424000003",NA,NA,NA,NA
"CA010424000002",NA,NA,NA,NA
"CA010224000011",NA,NA,NA,NA
"CA01046000001A",NA,NA,NA,NA
"CA01030300001T",NA,NA,NA,NA
"CA01030300001A",NA,NA,NA,NA
"CA010303000006",NA,NA,NA,NA
"CA01030300022B",NA,NA,NA,NA
"CA010303000022",NA,NA,NA,NA
"CA010303000021",NA,NA,NA,NA
"CA01120700042A",NA,NA,NA,NA
"CA011207000043",NA,NA,NA,NA
"CA011207000042",NA,NA,NA,NA
"CA010303000028",NA,NA,NA,NA
"CA01120700042C",NA,NA,NA,NA
"CA011207000040",NA,NA,NA,NA
"CA010733000010",NA,NA,NA,NA
"CA011406000001",NA,NA,NA,NA
"CA01030200902E",NA,NA,NA,NA
"CA010303000028",NA,NA,NA,NA
"CA01030200902A",NA,NA,NA,NA
"CA01030200904T",NA,NA,NA,NA
"CA010302000905",NA,NA,NA,NA
"CA01103900001A",NA,NA,NA,NA
"CA010733000006",NA,NA,NA,NA
"CA010733000007",NA,NA,NA,NA
"CA010302000907",NA,NA,NA,NA
"CA010302000908",NA,NA,NA,NA
"CA010638000002",NA,NA,NA,NA
"CA010638000001",NA,NA,NA,NA
"CA010733000008",NA,NA,NA,NA
"CA010545000006",NA,NA,NA,NA
"CA010638000003",NA,NA,NA,NA
"CA010638000006",NA,NA,NA,NA
"CA010173000006",NA,NA,NA,NA
"CA010173000001",NA,NA,NA,NA
"CA010545000017",NA,NA,NA,NA
"CA01063800007A",NA,NA,NA,NA
"CA010173000007",NA,NA,NA,NA
"CA01030400117D",NA,NA,NA,NA
"CA010545000008",NA,NA,NA,NA
"CA010173000002",NA,NA,NA,NA
"CA010301000920",NA,NA,NA,NA
"CA01054500017A",NA,NA,NA,NA
"CA010545000009",NA,NA,NA,NA
"CA010304000110",NA,NA,NA,NA
"CA010436000010",NA,NA,NA,NA
"CA010545000010",NA,NA,NA,NA
"CA010436000011",NA,NA,NA,NA
"CA010436000012",NA,NA,NA,NA
"CA01043600011B",NA,NA,NA,NA
"CA010545000024",NA,NA,NA,NA
"CA01030400123A",NA,NA,NA,NA
"CA012213000015",NA,NA,NA,NA
"CA012213000014",NA,NA,NA,NA
"CA010436000013",NA,NA,NA,NA
"CA01054500024A",NA,NA,NA,NA
"CA010545000011",NA,NA,NA,NA
"CA01054500011A",NA,NA,NA,NA
"CA010545000025",NA,NA,NA,NA
"CA010545000012",NA,NA,NA,NA
"CA010250000016",NA,NA,NA,NA
"CA012213000012",NA,NA,NA,NA
"CA010476000004",NA,NA,NA,NA
"CA01221300011A",NA,NA,NA,NA
"CA010476000001",NA,NA,NA,NA
"CA010625000010",NA,NA,NA,NA
"CA012213000008",NA,NA,NA,NA
"CA012213000010",NA,NA,NA,NA
