"COD_HDA_KEY","HDA_LABEL","INGENIO_FULL","MUNICIPIO","CORREGIMIENTO","CATEGORIA_ALERTA","FECHA_VISITA","RADICADO"
"CA_010014","MONTEPALO_010014","INCAUCA","Florida","Chococito","Alerta Inminente","",""
"CA_010074",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"CA_010139","EL REFUGIO 1, 2 Y 3_010139","INCAUCA","Florida","Chococito","Alerta Inminente + Focalización Operativa","",""
"CA_010141","PERODIAS  YOLANDA_010141","INCAUCA","Florida","El Remolino","Alerta Inminente + Focalización Operativa + Top 10 Regional","",""
"CA_010226",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"CA_010252","PERODIAS DORIS_010252","INCAUCA","Florida","El Remolino","Alerta Inminente + Focalización Operativa","",""
"CA_010273",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"CA_010356","LA PALOMERA_010356","INCAUCA","Candelaria","Cabuyal","Alerta Inminente","",""
"CA_010385",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"CA_010451","LA MARAVILLOSA_010451","INCAUCA","Florida","Tarragona","Alerta Inminente","",""
"CA_010545","ARANJUEZ 2_010545","INCAUCA","Candelaria","El Tiple","Alerta Inminente","",""
"CA_010789",NA,"OTRO",NA,NA,"Alerta Inminente + Focalización Operativa + Top 10 Regional","",""
"CA_010798","MONTECARLO_010798","INCAUCA","Florida","Chococito","Alerta Inminente","",""
"CA_010851",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"CA_010923",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"CA_011645",NA,"OTRO",NA,NA,"Alerta Inminente + Focalización Operativa","",""
"CA_011852",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"CA_011948","SAN PABLO TUMACO_011948","INCAUCA","Palmira","Guanabanal","Alerta Inminente + Focalización Operativa","",""
"CA_012241","MADRONAL  PALENQUE_012241","INCAUCA","Candelaria","Cabuyal","Alerta Inminente + Focalización Operativa + Top 10 Regional","",""
"CA_012512",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"CA_012519",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"CA_012625",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"CA_012642",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"CA_012692",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"CB_000007","PALACE_007","LA CABAÑA","Florida","Chococito","Alerta Inminente","",""
"CB_000010",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"CB_000114",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"CB_000142",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"CB_000751","RIO FRAYLE_751","LA CABAÑA","Florida","El Remolino","Alerta Inminente + Focalización Operativa","",""
"CB_000752","LA INDUSTRIA_752","LA CABAÑA","Florida","San Antonio de los Caballeros","Alerta Inminente","",""
"CB_000849","ACUARIO_849","LA CABAÑA","Florida","La Diana","Alerta Inminente","",""
"CB_000852","PERGOLA I_852","LA CABAÑA","Florida","La Diana","Alerta Inminente","",""
"CB_000853","VALLECITO_853","LA CABAÑA","Pradera","Bolivar","Alerta Inminente","",""
"CB_000A68",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"CB_000A98",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"CB_000B02","LA LINDA_B02","LA CABAÑA","Palmira","Aguaclara","Alerta Inminente","",""
"CB_000B04","PAPAYALITO_B04","LA CABAÑA","Palmira","Aguaclara","Alerta Inminente","",""
"CB_000B07","EL TABLON ALTO_B07","LA CABAÑA","Pradera","Potrerito","Alerta Inminente","",""
"CB_000F93",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"CC_000110",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"CC_000112",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"CC_000135",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"CC_000137","MANANTIAL_2137","CENTRAL CASTILLA","Pradera","La Floresta","Alerta Inminente + Focalización Operativa","",""
"CC_000138",NA,"OTRO",NA,NA,"Alerta Inminente + Focalización Operativa","",""
"CC_000260","PORVENIR LOPEZ_0260","CENTRAL CASTILLA","Pradera","Bolo - Hartonal","Alerta Inminente + Focalización Operativa","",""
"CC_000269",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"CC_000283",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"CC_000291",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"CC_000314",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"CC_000413","RETIRO_0413","CENTRAL CASTILLA","Palmira","Guanabanal","Alerta Inminente","",""
"CC_000445","ATENAS_0445","CENTRAL CASTILLA","Florida","La Diana","Alerta Inminente","",""
"CC_000447","ATENAS 1_0447","CENTRAL CASTILLA","Florida","La Diana","Alerta Inminente + Focalización Operativa","",""
"CC_000448","MARGARITAS_0448","CENTRAL CASTILLA","Candelaria","San Joaquin","Alerta Inminente + Focalización Operativa","",""
"CC_000453","IND. DORIS_0453","CENTRAL CASTILLA","Florida","San Antonio de los Caballeros","Alerta Inminente + Focalización Operativa","",""
"CC_000466","LOS RANCHOS_0466","CENTRAL CASTILLA","Florida","La Diana","Alerta Inminente","",""
"CC_000486",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"CC_000487",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"CC_000493",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"CC_000503",NA,"OTRO",NA,NA,"Alerta Inminente + Focalización Operativa + Top 10 Regional","",""
"CC_000546","LUCERNA OSCAR_0546","CENTRAL CASTILLA","Florida","El Remolino","Alerta Inminente","",""
"CC_000570","EL CUBO 1_0570","CENTRAL CASTILLA","Pradera","La Granja","Alerta Inminente + Focalización Operativa","",""
"CC_000574","TIERRA MEDIA_0574","CENTRAL CASTILLA","Florida","El Remolino","Alerta Inminente","",""
"CC_000682","REGINA 3_0682","CENTRAL CASTILLA","Candelaria","La Regina","Alerta Inminente","",""
"CC_000684","BALSILLA_0684","CENTRAL CASTILLA","Florida","El Remolino","Alerta Inminente","",""
"CC_000687","SAN RAFAEL H._0687","CENTRAL CASTILLA","Florida","El Libano","Alerta Inminente","",""
"CC_000703","TIERRA GRATA_0703","CENTRAL CASTILLA","Florida","El Remolino","Alerta Inminente + Focalización Operativa + Top 10 Regional","",""
"CC_000724","EL CUBO_0724","CENTRAL CASTILLA","Pradera","La Floresta","Alerta Inminente + Focalización Operativa","",""
"CC_000732","REFUGIO ATENAS_0732","CENTRAL CASTILLA","Florida","La Diana","Alerta Inminente","",""
"CC_000747","EL COFRE_0747","CENTRAL CASTILLA","Pradera","La Granja","Alerta Inminente + Focalización Operativa","",""
"CC_000768","PISAMOS_0768","CENTRAL CASTILLA","Florida","Chococito","Alerta Inminente","",""
"CC_000780","BELGICA_0780","CENTRAL CASTILLA","Florida","El Remolino","Alerta Inminente","",""
"CC_000784","REY 2_0784","CENTRAL CASTILLA","Florida","La Diana","Alerta Inminente","",""
"ML_000203","LA SEXTA_000203","MARIA LUISA","Candelaria","Madrevieja","Alerta Inminente","",""
"ML_000206","LA GUACA II_000206","MARIA LUISA","Candelaria","Arenal","Alerta Inminente","",""
"ML_000504","LA ISLA_000504","MARIA LUISA","Florida","El Remolino","Alerta Inminente","",""
"ML_000505","MOSCU_000505","MARIA LUISA","Florida","El Remolino","Alerta Inminente","",""
"ML_000506","REMOLINOS_000506","MARIA LUISA","Florida","El Remolino","Alerta Inminente","",""
"ML_000509",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"MN_000005","ROSARIO_005","MANUELITA","Palmira","Amaime","Alerta Inminente","",""
"MN_000008","CASCAJAL_008","MANUELITA","Palmira","Zamorano","Alerta Inminente","",""
"MN_000010","OLGA_010","MANUELITA","Palmira","Rozo","Alerta Inminente + Focalización Operativa","",""
"MN_000060",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"MN_000074","CASABCA/DOLORES_074","MANUELITA","Palmira","Juanchito","Alerta Inminente","",""
"MN_000118","DUNKERQUE_118","MANUELITA","Candelaria","El Tiple","Alerta Inminente","",""
"MN_000125",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"MN_000133",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"MN_000137","LOMITAS_137","MANUELITA","Palmira","Coronado","Alerta Inminente","",""
"MN_000305","REFLEJO_305","MANUELITA","El Cerrito","San Antonio","Focalización Operativa","",""
"MN_000341","BARRANCAS  MANUEL FELIPE_341","MANUELITA","Palmira","Barrancas","Alerta Inminente","",""
"MN_000346","SOCORRO 3_346","MANUELITA","Palmira","Coronado","Alerta Inminente","",""
"MN_000347","SANTA ROSA_347","MANUELITA","Palmira","Tienda Nueva","Alerta Inminente + Focalización Operativa","",""
"MN_000359","JOSEPILLA_359","MANUELITA","Palmira","Obando","Alerta Inminente + Focalización Operativa","",""
"MN_000362","ORIENTE_362","MANUELITA","Palmira","Guayabal","Alerta Inminente + Focalización Operativa","",""
"MN_000367","GERMANIA_367","MANUELITA","Palmira","Barrancas","Alerta Inminente + Focalización Operativa","",""
"MN_000376","DOS CEIBAS_376","MANUELITA","Palmira","Palmaseca","Alerta Inminente","",""
"MN_000422","SAN ANTONIO REYESNELSON_422","MANUELITA","Palmira","La Herradura","Alerta Inminente","",""
"MN_000443","SANTA MARTHA SARDI_443","MANUELITA","Candelaria","El Lauro","Alerta Inminente","",""
"MN_000460","EL ARADO_460","MANUELITA","Pradera","La Floresta","Alerta Inminente + Focalización Operativa","",""
"MN_000519",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"MN_000741","SANTA CLARA_741","MANUELITA","Candelaria","Madrevieja","Alerta Inminente","",""
"MN_000796","CONCORDIA_796","MANUELITA","Pradera","La Floresta","Alerta Inminente + Focalización Operativa","",""
"MY_000004","La Magnolia_4","MAYAGÜEZ","Candelaria","El Tiple","Alerta Inminente","",""
"MY_000010","MayagA?ez_10","MAYAGÜEZ","Candelaria","Madrevieja","Alerta Inminente","",""
"MY_000014","Zainera_14","MAYAGÜEZ","Candelaria","Madrevieja","Alerta Inminente + Focalización Operativa","",""
"MY_000017","La Colombiana_17","MAYAGÜEZ","Candelaria","Arenal","Alerta Inminente","",""
"MY_000029","Alvaro Reyes_29","MAYAGÜEZ","Candelaria","Madrevieja","Alerta Inminente + Focalización Operativa","",""
"MY_000032","Arauca_32","MAYAGÜEZ","Florida","Tarragona","Alerta Inminente + Focalización Operativa","",""
"MY_000048","El Arenal_48","MAYAGÜEZ","Candelaria","Arenal","Alerta Inminente + Focalización Operativa + Top 10 Regional","",""
"MY_000078","Caideal_78","MAYAGÜEZ","Candelaria","Madrevieja","Alerta Inminente","",""
"MY_000088","El Palmar_88","MAYAGÜEZ","Candelaria","El Lauro","Alerta Inminente","",""
"MY_000094","Maloya_94","MAYAGÜEZ","Candelaria","Arenal","Alerta Inminente + Focalización Operativa","",""
"MY_000103","Villa Patricia_103","MAYAGÜEZ","Pradera","La Tupia","Alerta Inminente + Focalización Operativa","",""
"MY_000104","El Rhin_104","MAYAGÜEZ","Florida","San Antonio de los Caballeros","Alerta Inminente","",""
"MY_000112","El Convenio_112","MAYAGÜEZ","Palmira","Bolo - Alizal","Alerta Inminente","",""
"MY_000114","Cantarrana_114","MAYAGÜEZ","Palmira","Caucaseco","Alerta Inminente","",""
"MY_000116","La Guaira_116","MAYAGÜEZ","Pradera","La Tupia","Alerta Inminente + Focalización Operativa","",""
"MY_000121","La Troya_121","MAYAGÜEZ","Candelaria","Arenal","Alerta Inminente + Focalización Operativa","",""
