Ingenio,Hacienda,Suerte,Municipio,Corregimiento,Codigo_14,Municipio_Clean,h8,Es_Hacienda_Ausente,Hda_Real,DAR
Manuelita,INES PALESTINA,1,El Cerrito,San Antonio,MN000336000001,EL CERRITO,MN000336,True,INES PALESTINA,CENTRO SUR
Manuelita,INES PALESTINA,2,El Cerrito,San Antonio,MN000336000002,EL CERRITO,MN000336,True,INES PALESTINA,CENTRO SUR
Manuelita,INES PALESTINA,3,El Cerrito,San Antonio,MN000336000003,EL CERRITO,MN000336,True,INES PALESTINA,CENTRO SUR
Manuelita,INES PALESTINA,4,El Cerrito,San Antonio,MN000336000004,EL CERRITO,MN000336,True,INES PALESTINA,CENTRO SUR
Manuelita,INES PALESTINA,5,El Cerrito,San Antonio,MN000336000005,EL CERRITO,MN000336,True,INES PALESTINA,CENTRO SUR
Manuelita,INES PALESTINA,6,El Cerrito,San Antonio,MN000336000006,EL CERRITO,MN000336,True,INES PALESTINA,CENTRO SUR
Manuelita,INES PALESTINA,7,El Cerrito,San Antonio,MN000336000007,EL CERRITO,MN000336,True,INES PALESTINA,CENTRO SUR
Manuelita,PRADO,1,Palmira,Caucaseco,MN000339000001,PALMIRA,MN000339,True,PRADO,SURORIENTE
Manuelita,PALESTINA 4,17,El Cerrito,San Antonio,MN000483000017,EL CERRITO,MN000483,True,PALESTINA,CENTRO SUR
Manuelita,LA MERCED,10,El Cerrito,El Placer,MN000798000010,EL CERRITO,MN000798,True,LA MERCED,CENTRO SUR
Manuelita,LA MERCED,10,El Cerrito,El Placer,MN000798000010,EL CERRITO,MN000798,True,LA MERCED,CENTRO SUR
Manuelita,LA MERCED,11,El Cerrito,El Placer,MN000798000011,EL CERRITO,MN000798,True,LA MERCED,CENTRO SUR
Manuelita,LA MERCED,11,El Cerrito,El Placer,MN000798000011,EL CERRITO,MN000798,True,LA MERCED,CENTRO SUR
Manuelita,LA MERCED,8,El Cerrito,El Placer,MN000798000008,EL CERRITO,MN000798,True,LA MERCED,CENTRO SUR
Pichichi,SAN FERNANDO,30,El Cerrito,San Antonio,PC002251000030,EL CERRITO,PC002251,True,SAN FERNANDO,SURORIENTE
Pichichi,SAN FERNANDO,40,El Cerrito,San Antonio,PC002251000040,EL CERRITO,PC002251,True,SAN FERNANDO,SURORIENTE
Providencia,QUITASUE?O,011,El Cerrito,nd,PR080812000011,EL CERRITO,PR080812,True,QUITASUE?O,CENTRO SUR
Providencia,LA AURORA,114D,El Cerrito,nd,PR08010300114D,EL CERRITO,PR080103,True,LA AURORA,CENTRO SUR
Providencia,LA AURORA,121C,El Cerrito,nd,PR08010300121C,EL CERRITO,PR080103,True,LA AURORA,CENTRO SUR
Providencia,QUITASUE?O,002,El Cerrito,nd,PR080812000002,EL CERRITO,PR080812,True,QUITASUE?O,CENTRO SUR
Providencia,LA AURORA,109,El Cerrito,nd,PR080103000109,EL CERRITO,PR080103,True,LA AURORA,CENTRO SUR
Providencia,LA AURORA,121E,El Cerrito,nd,PR08010300121E,EL CERRITO,PR080103,True,LA AURORA,CENTRO SUR
Providencia,LA MANSION 1,009,El Cerrito,nd,PR080323000009,EL CERRITO,PR080323,True,LA MANSION,SURORIENTE
Providencia,PORVENIR MANUELITA,508,El Cerrito,nd,PR081598000508,EL CERRITO,PR081598,True,PORVENIR MANUELITA,SURORIENTE
Castilla,SAN JORGE,100,Pradera,La Tupia,CC000101000100,PRADERA,CC000101,True,SAN JORGE,SURORIENTE
Castilla,CHAMORRAS,280,Pradera,La Tupia,CC000104000280,PRADERA,CC000104,True,CHAMORRAS,SURORIENTE
Castilla,SAN RAFAEL,202,Pradera,La Tupia,CC000105000202,PRADERA,CC000105,True,SAN RAFAEL,SURORIENTE
Castilla,SAN RAFAEL,273,Pradera,La Tupia,CC000105000273,PRADERA,CC000105,True,SAN RAFAEL,SURORIENTE
Castilla,CHAMORRAS,281,Pradera,La Tupia,CC000104000281,PRADERA,CC000104,True,CHAMORRAS,SURORIENTE
Castilla,SAN RAFAEL,037,Pradera,La Tupia,CC000105000037,PRADERA,CC000105,True,SAN RAFAEL,SURORIENTE
Castilla,SAN JORGE,090,Pradera,La Tupia,CC000101000090,PRADERA,CC000101,True,SAN JORGE,SURORIENTE
Providencia,RITA MANUELITA,026,Palmira,nd,PR081599000026,PALMIRA,PR081599,True,RITA MANUELITA,SURORIENTE
Providencia,EL ROSARIO ARBOLEDA,026D,El Cerrito,nd,PR08042300026D,EL CERRITO,PR080423,True,EL ROSARIO ARBOLEDA,SURORIENTE
Providencia,EL ROSARIO ARBOLEDA,028B,El Cerrito,nd,PR08042300028B,EL CERRITO,PR080423,True,EL ROSARIO ARBOLEDA,CENTRO SUR
Providencia,LA AURORA,121D,El Cerrito,nd,PR08010300121D,EL CERRITO,PR080103,True,LA AURORA,CENTRO SUR
Providencia,QUITASUE?O,009,El Cerrito,nd,PR080812000009,EL CERRITO,PR080812,True,QUITASUE?O,CENTRO SUR
