"COD_HDA_8","LAT","LON","Notas","Fecha_Georref"
"CC000112",NA,NA,NA,NA
"CA011132",NA,NA,NA,NA
"CA012390",NA,NA,NA,NA
"CC000503",NA,NA,NA,NA
"CC000962",NA,NA,NA,NA
"CC000506",NA,NA,NA,NA
"CC000316",NA,NA,NA,NA
"CC000522",NA,NA,NA,NA
"PC002244",NA,NA,NA,NA
"CA010850",NA,NA,NA,NA
"CA011352",NA,NA,NA,NA
"CA011952",NA,NA,NA,NA
"CC000290",NA,NA,NA,NA
"CC000716",NA,NA,NA,NA
"CA011396",NA,NA,NA,NA
"CA012032",NA,NA,NA,NA
"CB000F66",NA,NA,NA,NA
"CC000487",NA,NA,NA,NA
"CA010988",NA,NA,NA,NA
"CA011810",NA,NA,NA,NA
"CA011899",NA,NA,NA,NA
"CA011982",NA,NA,NA,NA
"CA012588",NA,NA,NA,NA
"CA012620",NA,NA,NA,NA
"CC000288",NA,NA,NA,NA
"CC000315",NA,NA,NA,NA
"PC002494",NA,NA,NA,NA
"CA012344",NA,NA,NA,NA
"CA012712",NA,NA,NA,NA
"CC000076",NA,NA,NA,NA
"CC000096",NA,NA,NA,NA
"CC000286",NA,NA,NA,NA
"CC000289",NA,NA,NA,NA
"PR080514",NA,NA,NA,NA
"PR082542",NA,NA,NA,NA
"CA010054",NA,NA,NA,NA
"CA010827",NA,NA,NA,NA
"CA010851",NA,NA,NA,NA
"CA011157",NA,NA,NA,NA
"CA011673",NA,NA,NA,NA
"CA011805",NA,NA,NA,NA
"CA011889",NA,NA,NA,NA
"CA011973",NA,NA,NA,NA
"CA012476",NA,NA,NA,NA
"CA012491",NA,NA,NA,NA
"CA012511",NA,NA,NA,NA
"CA012785",NA,NA,NA,NA
"CC000283",NA,NA,NA,NA
"CC000319",NA,NA,NA,NA
"CC000489",NA,NA,NA,NA
"CC000493",NA,NA,NA,NA
"CC000495",NA,NA,NA,NA
"CC000549",NA,NA,NA,NA
"MN000440",NA,NA,NA,NA
"CA010001",NA,NA,NA,NA
"CA010502",NA,NA,NA,NA
"CA010828",NA,NA,NA,NA
"CA011880",NA,NA,NA,NA
"CA012426",NA,NA,NA,NA
"CA012441",NA,NA,NA,NA
"CA012447",NA,NA,NA,NA
"CA012483",NA,NA,NA,NA
"CA012494",NA,NA,NA,NA
"CA012519",NA,NA,NA,NA
"CB000H83",NA,NA,NA,NA
"CB000L44",NA,NA,NA,NA
"CC000078",NA,NA,NA,NA
"CC000317",NA,NA,NA,NA
"PC002496",NA,NA,NA,NA
"PR081586",NA,NA,NA,NA
"PR082551",NA,NA,NA,NA
"CA010863",NA,NA,NA,NA
"CA010866",NA,NA,NA,NA
"CA010884",NA,NA,NA,NA
"CA011220",NA,NA,NA,NA
"CA011422",NA,NA,NA,NA
"CA011429",NA,NA,NA,NA
"CA011542",NA,NA,NA,NA
"CA011639",NA,NA,NA,NA
"CA011671",NA,NA,NA,NA
"CA011861",NA,NA,NA,NA
"CA011908",NA,NA,NA,NA
"CA011957",NA,NA,NA,NA
"CA011971",NA,NA,NA,NA
"CA012039",NA,NA,NA,NA
"CA012356",NA,NA,NA,NA
"CA012366",NA,NA,NA,NA
"CA012484",NA,NA,NA,NA
"CA012539",NA,NA,NA,NA
"CA012578",NA,NA,NA,NA
"CA012598",NA,NA,NA,NA
"CA012625",NA,NA,NA,NA
"CA012653",NA,NA,NA,NA
"CA012843",NA,NA,NA,NA
"CB000G40",NA,NA,NA,NA
"CB000H82",NA,NA,NA,NA
"CB000H85",NA,NA,NA,NA
"CC000028",NA,NA,NA,NA
"CC000127",NA,NA,NA,NA
"CC000143",NA,NA,NA,NA
"CC000217",NA,NA,NA,NA
"CC000257",NA,NA,NA,NA
"CC000270",NA,NA,NA,NA
"CC000280",NA,NA,NA,NA
"CC000449",NA,NA,NA,NA
"CC000451",NA,NA,NA,NA
"CC000474",NA,NA,NA,NA
"CC000773",NA,NA,NA,NA
"MN000339",NA,NA,NA,NA
"MN000521",NA,NA,NA,NA
"PC002433",NA,NA,NA,NA
"PR081585",NA,NA,NA,NA
"PR081606",NA,NA,NA,NA
"PR082566",NA,NA,NA,NA
"CA010040",NA,NA,NA,NA
"CA010072",NA,NA,NA,NA
"CA010087",NA,NA,NA,NA
"CA010254",NA,NA,NA,NA
"CA010294",NA,NA,NA,NA
"CA010357",NA,NA,NA,NA
"CA010392",NA,NA,NA,NA
"CA010489",NA,NA,NA,NA
"CA010799",NA,NA,NA,NA
"CA010876",NA,NA,NA,NA
"CA010883",NA,NA,NA,NA
"CA010888",NA,NA,NA,NA
"CA011118",NA,NA,NA,NA
"CA011222",NA,NA,NA,NA
"CA011255",NA,NA,NA,NA
"CA011511",NA,NA,NA,NA
"CA011636",NA,NA,NA,NA
"CA011674",NA,NA,NA,NA
"CA011731",NA,NA,NA,NA
"CA011766",NA,NA,NA,NA
"CA011835",NA,NA,NA,NA
"CA011887",NA,NA,NA,NA
"CA011972",NA,NA,NA,NA
"CA012069",NA,NA,NA,NA
"CA012077",NA,NA,NA,NA
"CA012104",NA,NA,NA,NA
"CA012127",NA,NA,NA,NA
"CA012248",NA,NA,NA,NA
