"cod_hda_key","fecha_visita","radicado","hda_label","ingenio_full","municipio","corregimiento","coordenadas","categoria_alerta","boletin_n"
"CA_010014",NA,NA,"MONTEPALO_010014","INCAUCA","Florida","Chococito","3.2903, -76.2621","Alerta Inminente","6, 7"
"CA_010110",NA,NA,"EL EDEN_010110","INCAUCA","Candelaria","San Joaquin","3.3565, -76.4391","Alerta Boletín Histórico","2, 3"
"CA_010139",NA,NA,"EL REFUGIO 1, 2 Y 3_010139","INCAUCA","Florida","Chococito","3.287, -76.2905","Alerta Inminente + Focalización Operativa","7"
"CA_010141",NA,NA,"PERODIAS  YOLANDA_010141","INCAUCA","Florida","El Remolino","3.304, -76.2599","Alerta Inminente + Focalización Operativa + Top 10 Regional","7"
"CA_010250",NA,NA,"EL COFRE CASASFRANCO_010250","INCAUCA","Candelaria","Cabuyal","3.3261, -76.3298","Alerta Boletín Histórico + Focalización Operativa","5, 6"
"CA_010252",NA,NA,"PERODIAS DORIS_010252","INCAUCA","Florida","El Remolino","3.3012, -76.2539","Alerta Inminente + Focalización Operativa","6, 7"
"CA_010303",NA,NA,"LIBERIA_010303","INCAUCA","Candelaria","Villa Gorgona","3.3869, -76.3816","Alerta Boletín Histórico","2"
"CA_010356",NA,NA,"LA PALOMERA_010356","INCAUCA","Candelaria","Cabuyal","3.3037, -76.3255","Alerta Inminente","6, 7"
"CA_010451",NA,NA,"LA MARAVILLOSA_010451","INCAUCA","Florida","Tarragona","3.2856, -76.3198","Alerta Inminente","7"
"CA_010494",NA,NA,"EL ROSAL_010494","INCAUCA","Florida","El Remolino","3.3177, -76.2801","Alerta Boletín Histórico","4"
"CA_010545",NA,NA,"ARANJUEZ 2_010545","INCAUCA","Candelaria","El Tiple","3.3364, -76.4046","Alerta Inminente","5, 7"
"CA_010749",NA,NA,"LA PACHITA_010749","INCAUCA",NA,NA,"3.283, -76.3401","Focalización Operativa","7"
"CA_010798",NA,NA,"MONTECARLO_010798","INCAUCA","Florida","Chococito","3.2936, -76.3028","Alerta Inminente","5, 7"
"CA_010985",NA,NA,"LA ESPERANZA OLAYA_010985","INCAUCA","Candelaria","Madrevieja","3.44, -76.3422","Alerta Boletín Histórico + Alerta Inminente","4, 5"
